Timestamp,SenderID,ReceiverID,Timestamp_Raw,Pathloss,PropDelay,Distance,Sender_XVelocity,Sender_YVelocity,Receiver_XVelocity,Receiver_YVelocity
0,10,11,0.165006,69.9,7.2e-7,215.86161138777936,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,12,0.165006,70.2,6.32e-7,189.4764379119267,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,13,0.165006,131.6,0.000005541,1662.2468498642227,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,14,0.165006,121.9,0.000004466,1339.698786026289,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,15,0.165006,120.5,0.00000487,1461.0231626857153,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,16,0.165006,133.4,0.0000037,1109.857109069974,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,17,0.165006,120.8,0.000002917,875.2086863146797,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,18,0.165006,124.5,0.00000239,717.0895646435816,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,19,0.165006,118.4,0.000001935,580.4961293982166,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,20,0.165006,91.9,0.000001415,424.5799780680576,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,21,0.165006,77.6,0.000001239,371.7140049056286,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,22,0.165006,71.6,7.76e-7,232.67378516377553,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,23,0.165006,112.7,0.000001401,420.4494500339736,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,10,24,0.165006,113.4,0.000001674,502.1526241909821,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,1,0.185006,96.7,0.000001469,440.74011066762705,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,2,0.185006,118.4,0.000003587,1076.1124780555747,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,3,0.185006,120.2,0.000003827,1148.2147798747426,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,4,0.185006,119.2,0.000003879,1163.6925157823728,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,5,0.185006,120.7,0.000004298,1289.4432550017566,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,6,0.185006,121.6,0.00000438,1314.054217578577,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,7,0.185006,120.9,0.000004334,1300.0713308097613,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,8,0.185006,122.5,0.000004754,1426.0651584951315,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,9,0.185006,118.3,0.000004135,1240.6097441312525,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,10,0.185006,121.9,0.000004466,1339.698786026289,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,11,0.185006,117.4,0.000004312,1293.5876286160737,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,12,0.185006,120.3,0.000003836,1150.7117076065585,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,13,0.185006,86.7,0.000001079,323.76825278780717,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,15,0.185006,82.6,6.43e-7,192.99375269547136,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,16,0.185006,69.6,8.02e-7,240.71969759377484,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,17,0.185006,104.7,0.000001649,494.84854349752817,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,18,0.185006,103.4,0.000002081,624.2726795697859,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,19,0.185006,111.8,0.000002546,763.8437980808432,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,20,0.185006,120.6,0.000003269,980.7446261194987,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,21,0.185006,112.7,0.000003269,980.8374677997359,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,22,0.185006,121.8,0.000004882,1464.7120500563856,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,23,0.185006,135.7,0.000005778,1733.446665425685,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,14,24,0.185006,129.7,0.000005758,1727.4424759850929,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,1,0.345007,132.1,0.000003425,1027.4758934975134,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,2,0.345007,113.5,0.000001643,493.0083273306245,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,3,0.345007,79.7,0.000001092,327.65625467891715,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,4,0.345007,78.6,0.000001014,304.13535029964413,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,5,0.345007,71.2,7.25e-7,217.3727847443035,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,6,0.345007,73.1,8.33e-7,249.99505208228967,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,7,0.345007,68.3,5.86e-7,175.86054588859784,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,8,0.345007,66.5,5.33e-7,159.8470446872875,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,9,0.345007,73.1,7.5e-7,224.96790418473825,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,10,0.345007,71.6,7.68e-7,230.37595246462908,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,11,0.345007,68.8,5.78e-7,173.3060848532913,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,12,0.345007,81.3,0.000001188,356.28270231214395,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,13,0.345007,127.1,0.000005942,1782.6145688749343,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,14,0.345007,121.8,0.000004889,1466.8446556716062,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,15,0.345007,125.5,0.000005354,1606.1610842035616,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,16,0.345007,133.2,0.000004093,1227.906133745521,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,17,0.345007,122.8,0.000003441,1032.379827399541,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,18,0.345007,131.6,0.000002818,845.3741945666837,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,19,0.345007,124.4,0.000002456,736.7713281815596,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,20,0.345007,111.6,0.000002097,629.2400530435394,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,21,0.345007,111.6,0.000001628,488.3355948117764,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,23,0.345007,79,9.19e-7,275.72344610424625,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,22,24,0.345007,76.1,9.5e-7,285.0650737575551,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,1,0.365007,120.1,0.000002246,673.9205296770809,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,3,0.365007,71.8,6.92e-7,207.7233127070043,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,4,0.365007,77.4,0.000001061,318.37971250914256,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,5,0.365007,76.8,9.2e-7,275.8743108891879,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,6,0.365007,76.6,8.83e-7,264.82959458174423,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,7,0.365007,78.9,0.000001077,323.0065812666975,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,8,0.365007,99.5,0.000001291,387.24940915424617,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,9,0.365007,79.3,0.000001127,338.0750595058992,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,10,0.365007,78.2,9.71e-7,291.34065526954834,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,11,0.365007,80.8,0.000001256,376.8389907035932,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,12,0.365007,66.6,4.84e-7,145.0954061772569,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,13,0.365007,125.7,0.000004665,1399.4668117498627,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,14,0.365007,118.4,0.000003588,1076.4306384907848,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,15,0.365007,115.8,0.000003948,1184.4778798548853,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,16,0.365007,122,0.000002853,855.9110440142987,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,17,0.365007,113.2,0.000001981,594.2789229501553,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,18,0.365007,108.7,0.000001559,467.8324184212782,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,19,0.365007,81,0.00000104,312.10388609938445,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,20,0.365007,64.5,4.54e-7,136.3119345904943,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,21,0.365007,71,7.04e-7,211.0942383476192,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
0,2,22,0.365007,113.5,0.000001643,493.0083273306245,-6.00E-09,-9.00E-10,-6.00E-09,-9.00E-10
